Walc,Result,Count
Very low,14,15
Very low,14,16
Very low,14,17
Very low,14,18
Very low,14,19
Very low,14,20
Very low,14,21
Very low,14,22
Very low,14,23
Very low,14,24
Very low,14,25
Very low,14,26
Very low,14,27
Very low,14,28
Very low,14,29
Very low,14,30
Very low,14,31
Very low,14,32
Very low,14,33
Very low,14,34
Very low,14,35
Very low,14,36
Very low,14,37
Very low,14,38
Very low,15,0
Very low,15,1
Very low,15,2
Very low,15,3
Very low,15,4
Very low,15,5
Very low,15,6
Very low,15,7
Very low,15,8
Very low,15,9
Very low,15,10
Very low,15,11
Very low,15,12
Very low,15,13
Very low,15,14
Very low,15,15
Very low,15,16
Very low,15,17
Very low,15,18
Very low,15,19
Very low,15,20
Very low,15,21
Very low,15,22
Very low,15,23
Very low,15,24
Very low,15,25
Very low,15,26
Very low,15,27
Very low,15,28
Very low,15,29
Very low,15,30
Very low,15,31
Very low,15,32
Very low,15,33
Very low,15,34
Very low,16,0
Very low,16,1
Very low,16,2
Very low,16,3
Very low,16,4
Very low,16,5
Very low,16,6
Very low,16,7
Very low,16,8
Very low,16,9
Very low,16,10
Very low,16,11
Very low,16,12
Very low,16,13
Very low,16,14
Very low,16,15
Very low,16,16
Very low,16,17
Very low,16,18
Very low,16,19
Very low,16,20
Very low,16,21
Very low,16,22
Very low,17,0
Very low,17,1
Very low,17,2
Very low,17,3
Very low,17,4
Very low,17,5
Very low,17,6
Very low,17,7
Very low,17,8
Very low,17,9
Very low,17,10
Very low,17,11
Very low,17,12
Very low,17,13
Very low,17,14
Very low,17,15
Very low,18,0
Very low,18,1
Very low,18,2
Very low,18,3
Very low,18,4
Very low,18,5
Very low,18,6
Very low,18,7
Very low,18,8
Very low,18,9
Very low,18,10
Very low,19,0
Very low,19,1
Very low,19,2
Very low,19,3
Very low,19,4
Very low,20,0
Low,2,0
Low,2,1
Low,2,2
Low,3,0
Low,4,1
Low,4,2
Low,4,3
Low,4,4
Low,5,0
Low,5,1
Low,5,2
Low,6,0
Low,6,1
Low,6,2
Low,6,3
Low,6,4
Low,7,0
Low,7,1
Low,7,2
Low,7,3
Low,7,4
Low,7,5
Low,7,6
Low,7,7
Low,8,0
Low,8,1
Low,8,2
Low,8,3
Low,8,4
Low,8,5
Low,8,6
Low,8,7
Low,8,8
Low,9,0
Low,9,1
Low,9,2
Low,9,3
Low,9,4
Low,9,5
Low,9,6
Low,9,7
Low,9,8
Low,9,9
Low,9,10
Low,9,11
Low,9,12
Low,9,13
Low,9,14
Low,10,0
Low,10,1
Low,10,2
Low,10,3
Low,10,4
Low,10,5
Low,10,6
Low,10,7
Low,10,8
Low,10,9
Low,10,10
Low,10,11
Low,10,12
Low,10,13
Low,10,14
Low,10,15
Low,10,16
Low,10,17
Low,10,18
Low,10,19
Low,10,20
Low,10,21
Low,10,22
Low,11,0
Low,11,1
Low,11,2
Low,11,3
Low,11,4
Low,11,5
Low,11,6
Low,11,7
Low,11,8
Low,11,9
Low,11,10
Low,11,11
Low,11,12
Low,11,13
Low,11,14
Low,11,15
Low,11,16
Low,11,17
Low,11,18
Low,11,19
Low,11,20
Low,11,21
Low,11,22
Low,11,23
Low,11,24
Low,11,25
Low,11,26
Low,11,27
Low,11,28
Low,11,29
Low,11,30
Low,11,31
Low,11,32
Low,12,0
Low,12,1
Low,12,2
Low,12,3
Low,12,4
Low,12,5
Low,12,6
Low,12,7
Low,12,8
Low,12,9
Low,12,10
Low,12,11
Low,12,12
Low,12,13
Low,12,14
Low,12,15
Low,12,16
Low,12,17
Low,12,18
Low,12,19
Low,12,20
Low,12,21
Low,12,22
Low,12,23
Low,12,24
Low,12,25
Low,12,26
Low,13,0
Low,13,1
Low,13,2
Low,13,3
Low,13,4
Low,13,5
Low,13,6
Low,13,7
Low,13,8
Low,13,9
Low,13,10
Low,13,11
Low,13,12
Low,13,13
Low,13,14
Low,13,15
Low,13,16
Low,13,17
Low,13,18
Low,13,19
Low,13,20
Low,13,21
Low,13,22
Low,13,23
Low,13,24
Low,13,25
Low,13,26
Low,13,27
Low,13,28
Low,13,29
Low,13,30
Low,13,31
Low,13,32
Low,14,0
Low,14,1
Low,14,2
Low,14,3
Low,14,4
Low,14,5
Low,14,6
Low,14,7
Low,14,8
Low,14,9
Low,14,10
Low,14,11
Low,14,12
Low,14,13
Low,14,14
Low,14,15
Low,14,16
Low,14,17
Low,14,18
Low,14,19
Low,14,20
Low,14,21
Low,14,22
Low,14,23
Low,15,0
Low,15,1
Low,15,2
Low,15,3
Low,15,4
Low,15,5
Low,15,6
Low,15,7
Low,15,8
Low,15,9
Low,15,10
Low,15,11
Low,15,12
Low,15,13
Low,15,14
Low,15,15
Low,15,16
Low,15,17
Low,16,0
Low,16,1
Low,16,2
Low,16,3
Low,16,4
Low,16,5
Low,16,6
Low,16,7
Low,16,8
Low,16,9
Low,16,10
Low,16,11
Low,16,12
Low,16,13
Low,16,14
Low,16,15
Low,17,0
Low,17,1
Low,17,2
Low,17,3
Low,18,0
Low,18,1
Low,18,2
Low,18,3
Low,18,4
Low,18,5
Low,18,6
Low,18,7
Low,19,0
Average,2,0
Average,3,0
Average,4,0
Average,5,0
Average,5,1
Average,5,2
Average,5,3
Average,5,4
Average,6,0
Average,6,1
Average,6,2
Average,7,0
Average,7,1
Average,7,2
Average,7,3
Average,7,4
Average,8,0
Average,8,1
Average,8,2
Average,8,3
Average,8,4
Average,8,5
Average,8,6
Average,8,7
Average,8,8
Average,8,9
Average,9,0
Average,9,1
Average,9,2
Average,9,3
Average,9,4
Average,9,5
Average,9,6
Average,9,7
Average,9,8
Average,9,9
Average,9,10
Average,9,11
Average,9,12
Average,9,13
Average,9,14
Average,9,15
Average,9,16
Average,9,17
Average,9,18
Average,9,19
Average,9,20
Average,9,21
Average,10,0
Average,10,1
Average,10,2
Average,10,3
Average,10,4
Average,10,5
Average,10,6
Average,10,7
Average,10,8
Average,10,9
Average,10,10
Average,10,11
Average,10,12
Average,10,13
Average,10,14
Average,10,15
Average,10,16
Average,10,17
Average,10,18
Average,10,19
Average,10,20
Average,10,21
Average,10,22
Average,10,23
Average,10,24
Average,10,25
Average,10,26
Average,10,27
Average,10,28
Average,10,29
Average,11,0
Average,11,1
Average,11,2
Average,11,3
Average,11,4
Average,11,5
Average,11,6
Average,11,7
Average,11,8
Average,11,9
Average,11,10
Average,11,11
Average,11,12
Average,11,13
Average,11,14
Average,11,15
Average,11,16
Average,11,17
Average,11,18
Average,11,19
Average,11,20
Average,12,0
Average,12,1
Average,12,2
Average,12,3
Average,12,4
Average,12,5
Average,12,6
Average,12,7
Average,12,8
Average,12,9
Average,12,10
Average,12,11
Average,12,12
Average,12,13
Average,12,14
Average,12,15
Average,12,16
Average,12,17
Average,12,18
Average,12,19
Average,12,20
Average,13,0
Average,13,1
Average,13,2
Average,13,3
Average,13,4
Average,13,5
Average,13,6
Average,13,7
Average,13,8
Average,13,9
Average,13,10
Average,13,11
Average,13,12
Average,13,13
Average,13,14
Average,13,15
Average,13,16
Average,13,17
Average,13,18
Average,13,19
Average,13,20
Average,13,21
Average,13,22
Average,13,23
Average,13,24
Average,13,25
Average,13,26
Average,14,0
Average,14,1
Average,14,2
Average,14,3
Average,14,4
Average,14,5
Average,14,6
Average,14,7
Average,14,8
Average,14,9
Average,14,10
Average,14,11
Average,14,12
Average,14,13
Average,14,14
Average,15,0
Average,15,1
Average,15,2
Average,15,3
Average,15,4
Average,15,5
Average,15,6
Average,15,7
Average,15,8
Average,15,9
Average,15,10
Average,15,11
Average,15,12
Average,15,13
Average,15,14
Average,15,15
Average,16,0
Average,16,1
Average,16,2
Average,16,3
Average,16,4
Average,16,5
Average,16,6
Average,16,7
Average,16,8
Average,16,9
Average,16,10
Average,16,11
Average,17,0
Average,17,1
Average,17,2
Average,17,3
Average,18,0
Average,18,1
Average,18,2
Average,18,3
Average,18,4
Average,18,5
High,3,0
High,3,1
High,4,0
High,4,1
High,6,0
High,6,1
High,6,2
High,7,0
High,7,1
High,7,2
High,7,3
High,7,4
High,7,5
High,7,6
High,8,0
High,8,1
High,8,2
High,8,3
High,8,4
High,8,5
High,8,6
High,8,7
High,9,0
High,9,1
High,9,2
High,9,3
High,9,4
High,9,5
High,9,6
High,9,7
High,9,8
High,9,9
High,9,10
High,9,11
High,9,12
High,9,13
High,10,0
High,10,1
High,10,2
High,10,3
High,10,4
High,10,5
High,10,6
High,10,7
High,10,8
High,10,9
High,10,10
High,10,11
High,10,12
High,10,13
High,10,14
High,10,15
High,10,16
High,10,17
High,10,18
High,10,19
High,10,20
High,10,21
High,10,22
High,10,23
High,10,24
High,10,25
High,10,26
High,10,27
High,10,28
High,10,29
High,10,30
High,11,0
High,11,1
High,11,2
High,11,3
High,11,4
High,11,5
High,11,6
High,11,7
High,11,8
High,11,9
High,11,10
High,11,11
High,11,12
High,11,13
High,11,14
High,11,15
High,11,16
High,11,17
High,11,18
High,11,19
High,11,20
High,12,0
High,12,1
High,12,2
High,12,3
High,12,4
High,12,5
High,12,6
High,12,7
High,12,8
High,12,9
High,12,10
High,12,11
High,12,12
High,12,13
High,12,14
High,12,15
High,12,16
High,13,0
High,13,1
High,13,2
High,13,3
High,13,4
High,13,5
High,13,6
High,13,7
High,13,8
High,13,9
High,13,10
High,13,11
High,13,12
High,13,13
High,13,14
High,14,0
High,14,1
High,14,2
High,14,3
High,14,4
High,14,5
High,15,0
High,15,1
High,15,2
High,15,3
High,15,4
High,16,5
High,16,6
High,16,7
High,16,8
High,16,9
High,17,0
High,18,0
Very High,3,0
Very High,4,0
Very High,5,0
Very High,6,0
Very High,7,0
Very High,7,0
Very High,7,0
Very High,7,0
Very High,7,0
Very High,7,0
Very High,7,0
Very High,8,0
Very High,8,1
Very High,8,2
Very High,8,3
Very High,8,4
Very High,9,0
Very High,9,1
Very High,9,2
Very High,9,3
Very High,9,4
Very High,9,5
Very High,9,6
Very High,9,7
Very High,9,8
Very High,9,9
Very High,10,0
Very High,10,1
Very High,10,2
Very High,10,3
Very High,10,4
Very High,10,5
Very High,10,6
Very High,10,7
Very High,10,8
Very High,11,0
Very High,11,1
Very High,11,2
Very High,11,3
Very High,11,4
Very High,11,5
Very High,11,6
Very High,11,7
Very High,11,8
Very High,11,9
Very High,11,10
Very High,11,11
Very High,12,0
Very High,12,1
Very High,12,2
Very High,12,3
Very High,12,4
Very High,12,5
Very High,12,6
Very High,12,7
Very High,13,0
Very High,13,1
Very High,13,2
Very High,13,3
Very High,13,4
Very High,13,5
Very High,13,6
Very High,14,0
Very High,14,1
Very High,14,2
Very High,15,0
Very High,15,1
Very High,15,2
Very High,16,0
Very High,16,1
Very High,16,2
Very High,18,0
Very High,18,1
